method,recommendation
Apriori,"If customer buys ['L', 'a', 'p', 't', 'o', 'p', ',', ' ', 'H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'], recommend ['B', 'a', 'c', 'k', 'p', 'a', 'c', 'k'] (Confidence: 0.33, Lift: 1.11, Support: 10.0%)"
Apriori,"If customer buys ['B', 'a', 'c', 'k', 'p', 'a', 'c', 'k', ',', ' ', 'H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'], recommend ['L', 'a', 'p', 't', 'o', 'p'] (Confidence: 0.5, Lift: 1.25, Support: 10.0%)"
Apriori,"If customer buys ['L', 'a', 'p', 't', 'o', 'p'], recommend ['B', 'a', 'c', 'k', 'p', 'a', 'c', 'k', ',', ' ', 'H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'] (Confidence: 0.25, Lift: 1.25, Support: 10.0%)"
Apriori,"If customer buys ['B', 'a', 'c', 'k', 'p', 'a', 'c', 'k'], recommend ['L', 'a', 'p', 't', 'o', 'p', ',', ' ', 'H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'] (Confidence: 0.33, Lift: 1.11, Support: 10.0%)"
Apriori,"If customer buys ['H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'], recommend ['L', 'a', 'p', 't', 'o', 'p', ',', ' ', 'B', 'a', 'c', 'k', 'p', 'a', 'c', 'k'] (Confidence: 0.25, Lift: 1.25, Support: 10.0%)"
Apriori,"If customer buys ['S', 'h', 'o', 'e', 's', ',', ' ', 'B', 'a', 'c', 'k', 'p', 'a', 'c', 'k'], recommend ['H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'] (Confidence: 0.67, Lift: 1.67, Support: 20.0%)"
Apriori,"If customer buys ['S', 'h', 'o', 'e', 's', ',', ' ', 'H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'], recommend ['B', 'a', 'c', 'k', 'p', 'a', 'c', 'k'] (Confidence: 0.5, Lift: 1.67, Support: 20.0%)"
Apriori,"If customer buys ['B', 'a', 'c', 'k', 'p', 'a', 'c', 'k', ',', ' ', 'H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'], recommend ['S', 'h', 'o', 'e', 's'] (Confidence: 1.0, Lift: 2.0, Support: 20.0%)"
Apriori,"If customer buys ['S', 'h', 'o', 'e', 's'], recommend ['B', 'a', 'c', 'k', 'p', 'a', 'c', 'k', ',', ' ', 'H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'] (Confidence: 0.4, Lift: 2.0, Support: 20.0%)"
Apriori,"If customer buys ['B', 'a', 'c', 'k', 'p', 'a', 'c', 'k'], recommend ['S', 'h', 'o', 'e', 's', ',', ' ', 'H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'] (Confidence: 0.67, Lift: 1.67, Support: 20.0%)"
Apriori,"If customer buys ['H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'], recommend ['S', 'h', 'o', 'e', 's', ',', ' ', 'B', 'a', 'c', 'k', 'p', 'a', 'c', 'k'] (Confidence: 0.5, Lift: 1.67, Support: 20.0%)"
Apriori,"If customer buys ['B', 'a', 'c', 'k', 'p', 'a', 'c', 'k', ',', ' ', 'S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'], recommend ['H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'] (Confidence: 0.67, Lift: 1.67, Support: 20.0%)"
Apriori,"If customer buys ['B', 'a', 'c', 'k', 'p', 'a', 'c', 'k', ',', ' ', 'H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'], recommend ['S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'] (Confidence: 1.0, Lift: 2.0, Support: 20.0%)"
Apriori,"If customer buys ['H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's', ',', ' ', 'S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'], recommend ['B', 'a', 'c', 'k', 'p', 'a', 'c', 'k'] (Confidence: 0.5, Lift: 1.67, Support: 20.0%)"
Apriori,"If customer buys ['B', 'a', 'c', 'k', 'p', 'a', 'c', 'k'], recommend ['H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's', ',', ' ', 'S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'] (Confidence: 0.67, Lift: 1.67, Support: 20.0%)"
Apriori,"If customer buys ['S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'], recommend ['B', 'a', 'c', 'k', 'p', 'a', 'c', 'k', ',', ' ', 'H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'] (Confidence: 0.4, Lift: 2.0, Support: 20.0%)"
Apriori,"If customer buys ['H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'], recommend ['B', 'a', 'c', 'k', 'p', 'a', 'c', 'k', ',', ' ', 'S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'] (Confidence: 0.5, Lift: 1.67, Support: 20.0%)"
Apriori,"If customer buys ['S', 'h', 'o', 'e', 's', ',', ' ', 'L', 'a', 'p', 't', 'o', 'p'], recommend ['B', 'a', 'c', 'k', 'p', 'a', 'c', 'k'] (Confidence: 0.5, Lift: 1.67, Support: 20.0%)"
Apriori,"If customer buys ['S', 'h', 'o', 'e', 's', ',', ' ', 'B', 'a', 'c', 'k', 'p', 'a', 'c', 'k'], recommend ['L', 'a', 'p', 't', 'o', 'p'] (Confidence: 0.67, Lift: 1.67, Support: 20.0%)"
Apriori,"If customer buys ['L', 'a', 'p', 't', 'o', 'p', ',', ' ', 'B', 'a', 'c', 'k', 'p', 'a', 'c', 'k'], recommend ['S', 'h', 'o', 'e', 's'] (Confidence: 1.0, Lift: 2.0, Support: 20.0%)"
Apriori,"If customer buys ['S', 'h', 'o', 'e', 's'], recommend ['L', 'a', 'p', 't', 'o', 'p', ',', ' ', 'B', 'a', 'c', 'k', 'p', 'a', 'c', 'k'] (Confidence: 0.4, Lift: 2.0, Support: 20.0%)"
Apriori,"If customer buys ['L', 'a', 'p', 't', 'o', 'p'], recommend ['S', 'h', 'o', 'e', 's', ',', ' ', 'B', 'a', 'c', 'k', 'p', 'a', 'c', 'k'] (Confidence: 0.5, Lift: 1.67, Support: 20.0%)"
Apriori,"If customer buys ['B', 'a', 'c', 'k', 'p', 'a', 'c', 'k'], recommend ['S', 'h', 'o', 'e', 's', ',', ' ', 'L', 'a', 'p', 't', 'o', 'p'] (Confidence: 0.67, Lift: 1.67, Support: 20.0%)"
Apriori,"If customer buys ['L', 'a', 'p', 't', 'o', 'p', ',', ' ', 'B', 'a', 'c', 'k', 'p', 'a', 'c', 'k'], recommend ['S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'] (Confidence: 1.0, Lift: 2.0, Support: 20.0%)"
Apriori,"If customer buys ['L', 'a', 'p', 't', 'o', 'p', ',', ' ', 'S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'], recommend ['B', 'a', 'c', 'k', 'p', 'a', 'c', 'k'] (Confidence: 0.5, Lift: 1.67, Support: 20.0%)"
Apriori,"If customer buys ['B', 'a', 'c', 'k', 'p', 'a', 'c', 'k', ',', ' ', 'S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'], recommend ['L', 'a', 'p', 't', 'o', 'p'] (Confidence: 0.67, Lift: 1.67, Support: 20.0%)"
Apriori,"If customer buys ['L', 'a', 'p', 't', 'o', 'p'], recommend ['B', 'a', 'c', 'k', 'p', 'a', 'c', 'k', ',', ' ', 'S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'] (Confidence: 0.5, Lift: 1.67, Support: 20.0%)"
Apriori,"If customer buys ['B', 'a', 'c', 'k', 'p', 'a', 'c', 'k'], recommend ['L', 'a', 'p', 't', 'o', 'p', ',', ' ', 'S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'] (Confidence: 0.67, Lift: 1.67, Support: 20.0%)"
Apriori,"If customer buys ['S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'], recommend ['L', 'a', 'p', 't', 'o', 'p', ',', ' ', 'B', 'a', 'c', 'k', 'p', 'a', 'c', 'k'] (Confidence: 0.4, Lift: 2.0, Support: 20.0%)"
Apriori,"If customer buys ['S', 'h', 'o', 'e', 's', ',', ' ', 'B', 'a', 'c', 'k', 'p', 'a', 'c', 'k'], recommend ['S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'] (Confidence: 1.0, Lift: 2.0, Support: 30.0%)"
Apriori,"If customer buys ['S', 'h', 'o', 'e', 's', ',', ' ', 'S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'], recommend ['B', 'a', 'c', 'k', 'p', 'a', 'c', 'k'] (Confidence: 0.6, Lift: 2.0, Support: 30.0%)"
Apriori,"If customer buys ['B', 'a', 'c', 'k', 'p', 'a', 'c', 'k', ',', ' ', 'S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'], recommend ['S', 'h', 'o', 'e', 's'] (Confidence: 1.0, Lift: 2.0, Support: 30.0%)"
Apriori,"If customer buys ['S', 'h', 'o', 'e', 's'], recommend ['B', 'a', 'c', 'k', 'p', 'a', 'c', 'k', ',', ' ', 'S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'] (Confidence: 0.6, Lift: 2.0, Support: 30.0%)"
Apriori,"If customer buys ['B', 'a', 'c', 'k', 'p', 'a', 'c', 'k'], recommend ['S', 'h', 'o', 'e', 's', ',', ' ', 'S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'] (Confidence: 1.0, Lift: 2.0, Support: 30.0%)"
Apriori,"If customer buys ['S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'], recommend ['S', 'h', 'o', 'e', 's', ',', ' ', 'B', 'a', 'c', 'k', 'p', 'a', 'c', 'k'] (Confidence: 0.6, Lift: 2.0, Support: 30.0%)"
Apriori,"If customer buys ['S', 'h', 'o', 'e', 's', ',', ' ', 'L', 'a', 'p', 't', 'o', 'p'], recommend ['H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'] (Confidence: 0.75, Lift: 1.87, Support: 30.0%)"
Apriori,"If customer buys ['S', 'h', 'o', 'e', 's', ',', ' ', 'H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'], recommend ['L', 'a', 'p', 't', 'o', 'p'] (Confidence: 0.75, Lift: 1.87, Support: 30.0%)"
Apriori,"If customer buys ['L', 'a', 'p', 't', 'o', 'p', ',', ' ', 'H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'], recommend ['S', 'h', 'o', 'e', 's'] (Confidence: 1.0, Lift: 2.0, Support: 30.0%)"
Apriori,"If customer buys ['S', 'h', 'o', 'e', 's'], recommend ['L', 'a', 'p', 't', 'o', 'p', ',', ' ', 'H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'] (Confidence: 0.6, Lift: 2.0, Support: 30.0%)"
Apriori,"If customer buys ['L', 'a', 'p', 't', 'o', 'p'], recommend ['S', 'h', 'o', 'e', 's', ',', ' ', 'H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'] (Confidence: 0.75, Lift: 1.87, Support: 30.0%)"
Apriori,"If customer buys ['H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'], recommend ['S', 'h', 'o', 'e', 's', ',', ' ', 'L', 'a', 'p', 't', 'o', 'p'] (Confidence: 0.75, Lift: 1.87, Support: 30.0%)"
Apriori,"If customer buys ['L', 'a', 'p', 't', 'o', 'p', ',', ' ', 'H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'], recommend ['S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'] (Confidence: 1.0, Lift: 2.0, Support: 30.0%)"
Apriori,"If customer buys ['L', 'a', 'p', 't', 'o', 'p', ',', ' ', 'S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'], recommend ['H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'] (Confidence: 0.75, Lift: 1.87, Support: 30.0%)"
Apriori,"If customer buys ['H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's', ',', ' ', 'S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'], recommend ['L', 'a', 'p', 't', 'o', 'p'] (Confidence: 0.75, Lift: 1.87, Support: 30.0%)"
Apriori,"If customer buys ['L', 'a', 'p', 't', 'o', 'p'], recommend ['H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's', ',', ' ', 'S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'] (Confidence: 0.75, Lift: 1.87, Support: 30.0%)"
Apriori,"If customer buys ['H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'], recommend ['L', 'a', 'p', 't', 'o', 'p', ',', ' ', 'S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'] (Confidence: 0.75, Lift: 1.87, Support: 30.0%)"
Apriori,"If customer buys ['S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'], recommend ['L', 'a', 'p', 't', 'o', 'p', ',', ' ', 'H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'] (Confidence: 0.6, Lift: 2.0, Support: 30.0%)"
Apriori,"If customer buys ['S', 'h', 'o', 'e', 's', ',', ' ', 'H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'], recommend ['S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'] (Confidence: 1.0, Lift: 2.0, Support: 40.0%)"
Apriori,"If customer buys ['S', 'h', 'o', 'e', 's', ',', ' ', 'S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'], recommend ['H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'] (Confidence: 0.8, Lift: 2.0, Support: 40.0%)"
Apriori,"If customer buys ['H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's', ',', ' ', 'S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'], recommend ['S', 'h', 'o', 'e', 's'] (Confidence: 1.0, Lift: 2.0, Support: 40.0%)"
Apriori,"If customer buys ['S', 'h', 'o', 'e', 's'], recommend ['H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's', ',', ' ', 'S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'] (Confidence: 0.8, Lift: 2.0, Support: 40.0%)"
Apriori,"If customer buys ['H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'], recommend ['S', 'h', 'o', 'e', 's', ',', ' ', 'S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'] (Confidence: 1.0, Lift: 2.0, Support: 40.0%)"
Apriori,"If customer buys ['S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'], recommend ['S', 'h', 'o', 'e', 's', ',', ' ', 'H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'] (Confidence: 0.8, Lift: 2.0, Support: 40.0%)"
Apriori,"If customer buys ['S', 'h', 'o', 'e', 's', ',', ' ', 'L', 'a', 'p', 't', 'o', 'p'], recommend ['S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'] (Confidence: 1.0, Lift: 2.0, Support: 40.0%)"
Apriori,"If customer buys ['S', 'h', 'o', 'e', 's', ',', ' ', 'S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'], recommend ['L', 'a', 'p', 't', 'o', 'p'] (Confidence: 0.8, Lift: 2.0, Support: 40.0%)"
Apriori,"If customer buys ['L', 'a', 'p', 't', 'o', 'p', ',', ' ', 'S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'], recommend ['S', 'h', 'o', 'e', 's'] (Confidence: 1.0, Lift: 2.0, Support: 40.0%)"
Apriori,"If customer buys ['S', 'h', 'o', 'e', 's'], recommend ['L', 'a', 'p', 't', 'o', 'p', ',', ' ', 'S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'] (Confidence: 0.8, Lift: 2.0, Support: 40.0%)"
Apriori,"If customer buys ['L', 'a', 'p', 't', 'o', 'p'], recommend ['S', 'h', 'o', 'e', 's', ',', ' ', 'S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'] (Confidence: 1.0, Lift: 2.0, Support: 40.0%)"
Apriori,"If customer buys ['S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'], recommend ['S', 'h', 'o', 'e', 's', ',', ' ', 'L', 'a', 'p', 't', 'o', 'p'] (Confidence: 0.8, Lift: 2.0, Support: 40.0%)"
Apriori,"If customer buys ['S', 'h', 'o', 'e', 's', ',', ' ', 'L', 'a', 'p', 't', 'o', 'p', ',', ' ', 'B', 'a', 'c', 'k', 'p', 'a', 'c', 'k'], recommend ['H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'] (Confidence: 0.5, Lift: 1.25, Support: 10.0%)"
Apriori,"If customer buys ['S', 'h', 'o', 'e', 's', ',', ' ', 'L', 'a', 'p', 't', 'o', 'p', ',', ' ', 'H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'], recommend ['B', 'a', 'c', 'k', 'p', 'a', 'c', 'k'] (Confidence: 0.33, Lift: 1.11, Support: 10.0%)"
Apriori,"If customer buys ['S', 'h', 'o', 'e', 's', ',', ' ', 'B', 'a', 'c', 'k', 'p', 'a', 'c', 'k', ',', ' ', 'H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'], recommend ['L', 'a', 'p', 't', 'o', 'p'] (Confidence: 0.5, Lift: 1.25, Support: 10.0%)"
Apriori,"If customer buys ['L', 'a', 'p', 't', 'o', 'p', ',', ' ', 'B', 'a', 'c', 'k', 'p', 'a', 'c', 'k', ',', ' ', 'H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'], recommend ['S', 'h', 'o', 'e', 's'] (Confidence: 1.0, Lift: 2.0, Support: 10.0%)"
Apriori,"If customer buys ['S', 'h', 'o', 'e', 's', ',', ' ', 'L', 'a', 'p', 't', 'o', 'p'], recommend ['B', 'a', 'c', 'k', 'p', 'a', 'c', 'k', ',', ' ', 'H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'] (Confidence: 0.25, Lift: 1.25, Support: 10.0%)"
Apriori,"If customer buys ['S', 'h', 'o', 'e', 's', ',', ' ', 'B', 'a', 'c', 'k', 'p', 'a', 'c', 'k'], recommend ['L', 'a', 'p', 't', 'o', 'p', ',', ' ', 'H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'] (Confidence: 0.33, Lift: 1.11, Support: 10.0%)"
Apriori,"If customer buys ['S', 'h', 'o', 'e', 's', ',', ' ', 'H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'], recommend ['L', 'a', 'p', 't', 'o', 'p', ',', ' ', 'B', 'a', 'c', 'k', 'p', 'a', 'c', 'k'] (Confidence: 0.25, Lift: 1.25, Support: 10.0%)"
Apriori,"If customer buys ['L', 'a', 'p', 't', 'o', 'p', ',', ' ', 'B', 'a', 'c', 'k', 'p', 'a', 'c', 'k'], recommend ['S', 'h', 'o', 'e', 's', ',', ' ', 'H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'] (Confidence: 0.5, Lift: 1.25, Support: 10.0%)"
Apriori,"If customer buys ['L', 'a', 'p', 't', 'o', 'p', ',', ' ', 'H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'], recommend ['S', 'h', 'o', 'e', 's', ',', ' ', 'B', 'a', 'c', 'k', 'p', 'a', 'c', 'k'] (Confidence: 0.33, Lift: 1.11, Support: 10.0%)"
Apriori,"If customer buys ['B', 'a', 'c', 'k', 'p', 'a', 'c', 'k', ',', ' ', 'H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'], recommend ['S', 'h', 'o', 'e', 's', ',', ' ', 'L', 'a', 'p', 't', 'o', 'p'] (Confidence: 0.5, Lift: 1.25, Support: 10.0%)"
Apriori,"If customer buys ['S', 'h', 'o', 'e', 's'], recommend ['L', 'a', 'p', 't', 'o', 'p', ',', ' ', 'B', 'a', 'c', 'k', 'p', 'a', 'c', 'k', ',', ' ', 'H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'] (Confidence: 0.2, Lift: 2.0, Support: 10.0%)"
Apriori,"If customer buys ['L', 'a', 'p', 't', 'o', 'p'], recommend ['S', 'h', 'o', 'e', 's', ',', ' ', 'B', 'a', 'c', 'k', 'p', 'a', 'c', 'k', ',', ' ', 'H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'] (Confidence: 0.25, Lift: 1.25, Support: 10.0%)"
Apriori,"If customer buys ['B', 'a', 'c', 'k', 'p', 'a', 'c', 'k'], recommend ['S', 'h', 'o', 'e', 's', ',', ' ', 'L', 'a', 'p', 't', 'o', 'p', ',', ' ', 'H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'] (Confidence: 0.33, Lift: 1.11, Support: 10.0%)"
Apriori,"If customer buys ['H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'], recommend ['S', 'h', 'o', 'e', 's', ',', ' ', 'L', 'a', 'p', 't', 'o', 'p', ',', ' ', 'B', 'a', 'c', 'k', 'p', 'a', 'c', 'k'] (Confidence: 0.25, Lift: 1.25, Support: 10.0%)"
Apriori,"If customer buys ['L', 'a', 'p', 't', 'o', 'p', ',', ' ', 'B', 'a', 'c', 'k', 'p', 'a', 'c', 'k', ',', ' ', 'S', 'm', 'a', 'r', 't', 'p', 'h', 'o', 'n', 'e'], recommend ['H', 'e', 'a', 'd', 'p', 'h', 'o', 'n', 'e', 's'] (Confidence: 0.5, Lift: 1.25, Support: 10.0%)"
